Depth,CALI,DRHO,DT,DTS,GR,NPHI,PEF,RACEHM,RACELM,RHOB,ROP,RPCELM,RT,PHIF,KLOGH,SAND_FLAG,SW,VSH
3429.2,8.625,0.049,90.1318,,75.1558,,6.4269,2.1225,1.3412,,27.4029,,,,,0,0.6187,1
3429.3,8.625,0.0409,90.2611,184.6437,71.3661,,,1.936,1.2639,,27.3883,2.3534,,,,0,,
3429.4,8.625,0.049,90.1318,185.7102,75.1558,0.3147,6.4269,2.1225,1.3412,2.4477,27.4029,2.4395,3.3667,0.1279,0.001,0,0.6187,1
3429.5,8.625,0.0409,90.2611,184.6437,71.3661,0.3038,6.4736,1.936,1.2639,2.4529,27.3883,2.3534,3.2573,0.1248,0.001,0,0.6446,0.9452
3429.6,8.625,0.03,90.3901,183.5783,65.6189,0.2948,6.6287,1.4981,1.1641,2.4649,27.3737,1.7891,2.3957,0.1176,0.001,0,0.7973,0.8582
3429.7,8.625,0.0201,90.4287,182.9737,58.8824,0.2886,6.9422,1.6309,1.2523,2.4882,27.3786,1.1735,1.318,0.1036,0.001,0,1,0.756
3429.8,8.625,0.0158,90.4576,182.4185,53.5104,0.2839,7.3736,1.314,1.2284,2.5251,27.3835,0.8564,0.5944,0.0813,0.001,0,1,0.6745
3429.9,8.6251,0.0216,90.4861,181.8643,52.2706,0.279,7.7945,0.8605,1.1326,2.5731,27.3882,0.8282,0.5254,0.0524,0.001,0,1,0.6557
3430,8.6719,0.0361,90.3586,181.7243,50.2996,0.271,8.0856,0.9057,1.117,2.6224,27.3269,0.7496,0.5553,0.0227,0.001,0,1,0.6259
3430.1,8.6718,0.0544,90.2048,181.6544,47.1567,0.2676,8.1732,1.0736,1.1538,2.6581,27.2655,0.6222,0.3545,0.02,0.001,0,1,0.5782
3430.2,8.6251,0.0705,90.0509,181.5846,46.2145,0.2693,8.1418,0.9377,1.2577,2.6747,27.2045,0.4906,0.2215,0.02,0.0012,0,1,0.5639
3430.3,8.6719,0.0791,89.8306,181.5517,44.8912,0.2797,8.1065,0.7058,1.3231,2.6727,27.2783,0.4322,0.1892,0.02,0.0018,0,1,0.5438
3430.4,8.6719,0.0781,89.5945,181.5276,44.1483,0.2955,8.1548,0.5662,1.3425,2.6615,27.3521,0.3911,0.2286,0.02,0.0023,0,1,0.5326
3430.5,8.6719,0.065,89.3579,181.5035,44.0716,0.3091,8.3079,0.694,1.2626,2.6483,27.4256,0.3862,0.3115,0.02,0.0024,0,1,0.5314
3430.6,8.6719,0.0432,88.9079,181.4692,44.7965,0.3153,8.5186,0.7684,1.1341,2.6409,27.4033,0.4252,0.3755,0.02,0.0019,0,1,0.5423
3430.7,8.6718,0.0183,88.3903,181.4316,46.7487,0.3155,8.8069,0.6438,0.9425,2.6467,27.3809,0.5359,0.5049,0.02,0.001,0,1,0.5719
3430.8,8.6251,-0.0024,87.8727,181.3939,48.8029,0.318,9.1856,0.5679,0.8697,2.6682,27.3585,0.6324,0.5813,0.02,0.001,0,1,0.6029
3430.9,8.6485,-0.0131,87.385,181.317,51.765,0.3174,9.6201,0.553,0.8594,2.7055,27.2976,0.6504,0.6198,0.02,0.001,0,1,0.6479
