Depth,CALI,DRHO,DT,DTS,GR,NPHI,PEF,RACEHM,RACELM,RHOB,ROP,RPCELM,RT,PHIF,SAND_FLAG,SW,VSH
3237.2,8.6556,0.0336,86.3442,146.5437,75.9388,0.2444,6.8873,1.1282,1.1788,2.4778,37.0903,1.1377,1.0957,0.1099,0,1,0.5675
3237.3,8.6976,0.0511,86.1358,145.5811,75.6764,0.2373,6.9145,1.118,1.1741,2.5044,36.5929,1.124,1.0691,0.0939,0,1,0.5655
3237.4,8.6976,0.07,86.0332,144.0806,73.741,0.2337,6.9234,1.0976,1.1654,2.5229,35.7777,1.1163,1.0621,0.0826,0,1,0.5499
3237.5,8.6976,0.0761,85.7798,142.3907,73.6004,0.2334,6.8835,1.0948,1.173,2.5177,34.9625,1.0918,1.0218,0.0856,0,1,0.5487
3237.6,8.6976,0.0679,85.451,140.5426,75.1597,0.2345,6.8211,1.0842,1.1755,2.4943,34.1472,1.0818,1.017,0.0997,0,1,0.5612
3237.7,8.6973,0.056,85.1167,138.3278,75.8059,0.234,6.7647,1.0839,1.1673,2.4726,33.332,1.0878,1.0154,0.1128,0,1,0.5665
3237.8,8.6637,0.0499,84.6271,136.1449,75.5098,0.2331,6.7191,1.085,1.1724,2.4647,32.5168,1.0899,1.0273,0.1177,0,1,0.5642
3237.9,8.6637,0.0499,84.0395,134.0322,73.3726,0.2286,6.696,1.1074,1.1775,2.4677,31.7023,1.1018,1.0415,0.1158,0,1,0.547
3238,8.6637,0.0508,83.4207,132.3695,71.8986,0.225,6.7362,1.1398,1.1858,2.473,31.0101,1.1398,1.1114,0.1127,0,1,0.5353
3238.1,8.6637,0.0511,82.578,131.23,68.8992,0.2231,6.8489,1.1549,1.1877,2.4791,30.318,1.1821,1.1864,0.109,0,1,0.5115
3238.2,8.6637,0.0522,81.5834,130.5076,62.6319,0.2223,6.9382,1.1671,1.181,2.4863,29.6303,1.2054,1.2316,0.1047,0,1,0.4612
3238.3,8.6637,0.0552,80.8453,130.2639,60.5003,0.2207,6.8903,1.1967,1.1886,2.493,29.7004,1.2144,1.2326,0.1006,0,1,0.4441
3238.4,8.6637,0.0582,79.9157,130.0899,58.2861,0.2157,6.7035,1.2297,1.2043,2.4953,29.7705,1.217,1.2145,0.0992,0,1,0.4264
3238.5,8.6637,0.0576,78.814,129.9765,56.0269,0.2063,6.4992,1.2391,1.2136,2.4906,29.8403,1.2231,1.195,0.102,0,1,0.4083
3238.6,8.6637,0.0516,77.8097,129.5758,53.6736,0.1942,6.4282,1.2464,1.2104,2.4821,29.8421,1.23,1.1887,0.1072,0,1,0.3895
3238.7,8.664,0.0429,76.8479,129.0435,50.2321,0.1834,6.5494,1.2363,1.2164,2.4783,29.8439,1.246,1.2044,0.1095,0,1,0.362
3238.8,8.6976,0.0354,75.9331,128.366,46.3501,0.1748,6.8405,1.2386,1.2198,2.4883,29.8459,1.2692,1.2717,0.1036,0,1,0.3309
